date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:05:53	2339/2339	---M-Z	200	added ('OK')	application/javascript	etag:%22101942-923-57fbbaec93ece%22	http://apronline.gov.ar/js/index.js	/home/fedegon/websites/apr2/apronline.gov.ar/js/index.js	(from http://apronline.gov.ar/)
10:05:53	20120/20120	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494d-4e98%22	https://cdnjs.cloudflare.com/ajax/libs/jquery.mask/1.14.10/jquery.mask.js	/home/fedegon/websites/apr2/cdnjs.cloudflare.com/ajax/libs/jquery.mask/1.14.10/jquery.mask.js	(from http://apronline.gov.ar/)
10:05:55	6000/6000	---M-Z	200	added ('OK')	application/javascript	etag:%22100ffe-1770-57d5fedf2ea5d%22	http://apronline.gov.ar/js/download.js	/home/fedegon/websites/apr2/apronline.gov.ar/js/download.js	(from http://apronline.gov.ar/)
10:05:56	3280/3280	---M-Z	200	added ('OK')	application/javascript	etag:%221010aa-cd0-57d5fee410ae1%22	http://apronline.gov.ar/contactform/contactform.js	/home/fedegon/websites/apr2/apronline.gov.ar/contactform/contactform.js	(from http://apronline.gov.ar/)
10:06:00	6990/6990	---M--	200	added ('OK')	application/javascript	etag:%225de0397a-1b4e%22	https://www.smartsuppchat.com/loader.js?	/home/fedegon/websites/apr2/www.smartsuppchat.com/loaderd41d.js	(from http://apronline.gov.ar/)
10:09:06	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2002%20Dec%202019%2013:05:58%20GMT	https://fonts.googleapis.com/robots.txt		(from http://apronline.gov.ar/)
10:09:06	2974994/2974994	---M--	200	added ('OK')	image/jpeg	etag:%22101957-2d6512-5926c50a3c0de%22	http://apronline.gov.ar/archivos/Publicidadenviapublica.jpg	/home/fedegon/websites/apr2/apronline.gov.ar/archivos/Publicidadenviapublica.jpg	(from http://apronline.gov.ar/)
10:09:06	60628/60628	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:06%20GMT	http://apronline.gov.ar/index.php?modulo=ordenanzas	/home/fedegon/websites/apr2/apronline.gov.ar/index4b04-2.html	(from http://apronline.gov.ar/index.php)
10:09:07	115489/115489	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:07%20GMT	http://apronline.gov.ar/index.php?modulo=resoluciones-generales	/home/fedegon/websites/apr2/apronline.gov.ar/index6ac1-2.html	(from http://apronline.gov.ar/index.php)
10:09:08	55414/55414	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:07%20GMT	http://apronline.gov.ar/index.php?modulo=centros-atencion	/home/fedegon/websites/apr2/apronline.gov.ar/index610d-2.html	(from http://apronline.gov.ar/index.php)
10:09:09	54452/54452	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:09%20GMT	http://apronline.gov.ar/index.php?modulo=linea-municipal	/home/fedegon/websites/apr2/apronline.gov.ar/index945b-2.html	(from http://apronline.gov.ar/index.php)
10:09:10	57426/57426	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:10%20GMT	http://apronline.gov.ar/index.php?modulo=habilitaciones	/home/fedegon/websites/apr2/apronline.gov.ar/index4721-2.html	(from http://apronline.gov.ar/index.php)
10:09:11	59846/59846	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:11%20GMT	http://apronline.gov.ar/index.php?modulo=guia	/home/fedegon/websites/apr2/apronline.gov.ar/indexb8e4-2.html	(from http://apronline.gov.ar/index.php)
10:09:12	65470/65470	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:12%20GMT	http://apronline.gov.ar/index.php?modulo=monotasa	/home/fedegon/websites/apr2/apronline.gov.ar/indexbb67-2.html	(from http://apronline.gov.ar/index.php)
10:09:13	55305/55305	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:12%20GMT	http://apronline.gov.ar/index.php?modulo=consulta_ex	/home/fedegon/websites/apr2/apronline.gov.ar/indexd386-2.html	(from http://apronline.gov.ar/index.php)
10:09:14	73736/73736	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:14%20GMT	http://apronline.gov.ar/index.php?modulo=formularios	/home/fedegon/websites/apr2/apronline.gov.ar/index8106-2.html	(from http://apronline.gov.ar/index.php)
10:09:15	82876/82876	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:14%20GMT	http://apronline.gov.ar/index.php?modulo=vencimientos	/home/fedegon/websites/apr2/apronline.gov.ar/index79ac-2.html	(from http://apronline.gov.ar/index.php)
10:09:16	58963/58963	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:16%20GMT	http://apronline.gov.ar/index.php?modulo=noticias&noticia=29	/home/fedegon/websites/apr2/apronline.gov.ar/index24fb-2.html	(from http://apronline.gov.ar/index.php)
10:09:17	58560/58560	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:16%20GMT	http://apronline.gov.ar/index.php?modulo=medios-pago	/home/fedegon/websites/apr2/apronline.gov.ar/indexbfe6-2.html	(from http://apronline.gov.ar/index.php)
10:09:18	67347/67347	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:18%20GMT	http://apronline.gov.ar/index.php?modulo=noticias	/home/fedegon/websites/apr2/apronline.gov.ar/index199a-2.html	(from http://apronline.gov.ar/index.php)
10:09:20	64565/64565	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:19%20GMT	http://apronline.gov.ar/index.php?modulo=noticias&noticia=28	/home/fedegon/websites/apr2/apronline.gov.ar/index50dd-2.html	(from http://apronline.gov.ar/index.php)
10:09:20	59310/59310	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:20%20GMT	http://apronline.gov.ar/index.php?modulo=noticias&noticia=27	/home/fedegon/websites/apr2/apronline.gov.ar/index6670-2.html	(from http://apronline.gov.ar/index.php)
10:09:21	58214/58214	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:21%20GMT	http://apronline.gov.ar/index.php?modulo=noticias&noticia=26	/home/fedegon/websites/apr2/apronline.gov.ar/index9aab-2.html	(from http://apronline.gov.ar/index.php)
10:09:22	55254/55254	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:22%20GMT	http://apronline.gov.ar/index.php?modulo=autoridades	/home/fedegon/websites/apr2/apronline.gov.ar/index6c80-2.html	(from http://apronline.gov.ar/index.php)
10:09:23	60115/60115	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:23%20GMT	http://apronline.gov.ar/index.php?modulo=aviso-legal	/home/fedegon/websites/apr2/apronline.gov.ar/index6ed7-2.html	(from http://apronline.gov.ar/index.php)
10:09:24	54516/54516	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:24%20GMT	http://apronline.gov.ar/index.php?modulo=legales	/home/fedegon/websites/apr2/apronline.gov.ar/index1dfe-2.html	(from http://apronline.gov.ar/index.php)
10:09:25	57836/57836	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:25%20GMT	http://apronline.gov.ar/index.php?modulo=veredas	/home/fedegon/websites/apr2/apronline.gov.ar/index6c46-2.html	(from http://apronline.gov.ar/index.php)
10:09:26	54130/54130	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:26%20GMT	http://apronline.gov.ar/index.php?modulo=listado-gestores	/home/fedegon/websites/apr2/apronline.gov.ar/index53b9-2.html	(from http://apronline.gov.ar/index.php)
10:09:27	200211/200211	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:26%20GMT	http://apronline.gov.ar/index.php?modulo=listado-inspectores	/home/fedegon/websites/apr2/apronline.gov.ar/index7cf9-2.html	(from http://apronline.gov.ar/index.php)
10:09:28	55774/55774	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:28%20GMT	http://apronline.gov.ar/index.php?modulo=consulta_fa	/home/fedegon/websites/apr2/apronline.gov.ar/indexf951-2.html	(from http://apronline.gov.ar/index.php)
10:09:29	54762/54762	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:28%20GMT	http://apronline.gov.ar/index.php?modulo=constancia_inscripcion	/home/fedegon/websites/apr2/apronline.gov.ar/index916f-2.html	(from http://apronline.gov.ar/index.php)
10:09:30	55665/55665	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2013:09:30%20GMT	http://apronline.gov.ar/index.php?modulo=enlaces-externos	/home/fedegon/websites/apr2/apronline.gov.ar/indexef0a-2.html	(from http://apronline.gov.ar/index.php)
10:09:31	729/729	---MC-	200	added ('OK')	text/javascript	date:Mon,%2002%20Dec%202019%2013:09:31%20GMT	https://www.google.com/recaptcha/api.js	/home/fedegon/websites/apr2/www.google.com/recaptcha/api.js	(from http://apronline.gov.ar/?modulo=ordenanzas)
